Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Timestamp,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used,Latency (ms),Slice Bandwidth (Mbps)
TXN2346550714,ACC59386,ACC31436,275.22,Deposit,17/01/2025 10:43,Success,False,40.7128 N, 139.6917 W,Mobile,6,94
TXN3001048865,ACC64461,ACC44992,1054.67,Transfer,17/01/2025 10:38,Success,False,48.8566 N, -74.006 W,Desktop,12,118
TXN3954388296,ACC33685,ACC32275,1258.41,Transfer,17/01/2025 10:14,Success,False,40.7128 N, 0.1278 W,Mobile,5,188
TXN4350246343,ACC81201,ACC20704,217.56,Transfer,17/01/2025 10:35,Success,True,48.8566 N, 0.1278 W,Mobile,13,170
TXN3226960880,ACC83398,ACC99759,1174.55,Transfer,17/01/2025 10:44,Failed,False,40.7128 N, 2.3522 W,Mobile,17,84
TXN7891760943,ACC69922,ACC52904,1042.62,Transfer,17/01/2025 10:43,Failed,True,40.7128 N, 2.3522 W,Desktop,20,184
TXN1937189886,ACC43888,ACC87309,51.89,Deposit,17/01/2025 10:34,Failed,False,48.8566 N, -74.006 W,Mobile,17,148
TXN4264661286,ACC52163,ACC31994,757.11,Withdrawal,17/01/2025 10:31,Failed,True,34.0522 N, -118.2437 W,Desktop,9,205
TXN3465692464,ACC53784,ACC66043,802.33,Transfer,17/01/2025 10:39,Success,True,51.5074 N, -118.2437 W,Desktop,16,134
TXN5769283480,ACC14634,ACC44684,556.32,Transfer,17/01/2025 11:00,Failed,True,48.8566 N, 37.6173 W,Mobile,3,144
TXN8525219190,ACC54648,ACC11205,256.48,Withdrawal,17/01/2025 10:14,Failed,True,55.7558 N, 139.6917 W,Desktop,4,195
TXN9707155018,ACC68228,ACC39270,538.85,Deposit,17/01/2025 10:40,Success,False,48.8566 N, -118.2437 W,Desktop,3,100
TXN1600361546,ACC83231,ACC28803,703.98,Withdrawal,17/01/2025 10:54,Success,True,34.0522 N, -74.006 W,Desktop,6,125
TXN5364984512,ACC68793,ACC11919,573.31,Deposit,17/01/2025 11:00,Success,True,51.5074 N, -118.2437 W,Desktop,14,86
TXN9190915445,ACC22862,ACC56214,1317.9,Deposit,17/01/2025 10:11,Failed,False,48.8566 N, 0.1278 W,Mobile,11,77
TXN9993789277,ACC93052,ACC75393,717.18,Deposit,17/01/2025 10:13,Success,False,55.7558 N, 0.1278 W,Mobile,19,191
TXN4326221784,ACC81249,ACC67099,585.21,Withdrawal,17/01/2025 10:33,Success,True,55.7558 N, -118.2437 W,Mobile,20,190
TXN3052947958,ACC14822,ACC75071,370.03,Withdrawal,17/01/2025 10:25,Success,False,35.6895 N, -74.006 W,Desktop,9,196
TXN1092084478,ACC81497,ACC20308,1091.12,Deposit,17/01/2025 10:38,Success,True,55.7558 N, 37.6173 W,Mobile,16,92
TXN9572905121,ACC17884,ACC81417,1181.48,Transfer,17/01/2025 10:39,Failed,True,34.0522 N, 37.6173 W,Mobile,17,164
TXN5843964744,ACC50985,ACC96391,614.35,Deposit,17/01/2025 10:46,Failed,False,34.0522 N, 2.3522 W,Mobile,13,73
TXN7450665604,ACC66864,ACC51253,459.03,Deposit,17/01/2025 10:38,Success,True,51.5074 N, 0.1278 W,Mobile,6,99
TXN8164649264,ACC91303,ACC96936,570.25,Withdrawal,17/01/2025 10:55,Failed,False,34.0522 N, 37.6173 W,Mobile,7,190
TXN5795848137,ACC91551,ACC53217,1080.96,Withdrawal,17/01/2025 10:24,Success,True,55.7558 N, 0.1278 W,Desktop,19,141
TXN8343278895,ACC34139,ACC73264,206.11,Withdrawal,17/01/2025 10:39,Success,False,34.0522 N, 37.6173 W,Desktop,10,241
TXN6206308673,ACC50016,ACC16610,906.4,Transfer,17/01/2025 10:09,Failed,False,48.8566 N, 139.6917 W,Desktop,15,87
TXN5071554698,ACC30548,ACC13373,1234.97,Deposit,17/01/2025 10:26,Success,False,35.6895 N, -74.006 W,Desktop,11,107
TXN6341592948,ACC32012,ACC88630,864.07,Transfer,17/01/2025 10:48,Success,False,34.0522 N, 0.1278 W,Desktop,8,199
TXN6010804010,ACC59380,ACC52745,1168.41,Withdrawal,17/01/2025 11:00,Failed,False,48.8566 N, 139.6917 W,Mobile,15,117
TXN6766899632,ACC22489,ACC48565,1063.01,Transfer,17/01/2025 10:31,Success,False,55.7558 N, -74.006 W,Mobile,3,143
TXN3026357479,ACC96637,ACC45161,578.36,Withdrawal,17/01/2025 10:41,Failed,True,34.0522 N, 0.1278 W,Mobile,11,200
TXN9295124367,ACC79913,ACC57156,389.42,Withdrawal,17/01/2025 10:27,Failed,True,55.7558 N, -74.006 W,Mobile,13,81
TXN1661230242,ACC56152,ACC48714,559.62,Deposit,17/01/2025 10:25,Failed,True,51.5074 N, -118.2437 W,Mobile,11,201
TXN1971749955,ACC51032,ACC88363,176.97,Deposit,17/01/2025 10:26,Success,True,51.5074 N, -74.006 W,Mobile,7,226
TXN7902609594,ACC80258,ACC57380,537.6,Transfer,17/01/2025 10:12,Success,True,34.0522 N, 2.3522 W,Mobile,17,83
TXN7992166468,ACC58190,ACC24649,561.3,Withdrawal,17/01/2025 10:08,Failed,True,35.6895 N, 139.6917 W,Desktop,18,237
TXN4342664555,ACC90317,ACC33256,1135.83,Transfer,17/01/2025 10:25,Failed,True,40.7128 N, -74.006 W,Mobile,19,150
TXN8112417243,ACC77643,ACC94743,499.93,Transfer,17/01/2025 10:51,Success,True,55.7558 N, 0.1278 W,Desktop,18,147
TXN1337209397,ACC47312,ACC44295,889.23,Withdrawal,17/01/2025 10:55,Success,True,34.0522 N, 0.1278 W,Desktop,6,216
TXN3239483041,ACC69369,ACC27407,638.84,Withdrawal,17/01/2025 10:04,Success,False,35.6895 N, 139.6917 W,Desktop,10,105
TXN8594411611,ACC61170,ACC73104,1456.87,Deposit,17/01/2025 10:26,Failed,True,48.8566 N, 2.3522 W,Mobile,8,117
TXN6822123619,ACC71070,ACC58930,561.06,Deposit,17/01/2025 10:11,Failed,True,40.7128 N, 139.6917 W,Desktop,6,79
TXN6454901818,ACC18477,ACC35128,1465.1,Transfer,17/01/2025 10:45,Failed,False,48.8566 N, 2.3522 W,Desktop,7,200
TXN3094737504,ACC55747,ACC43787,753.03,Transfer,17/01/2025 10:11,Success,True,40.7128 N, -74.006 W,Mobile,18,89
TXN1325800005,ACC53355,ACC88440,1421.77,Deposit,17/01/2025 10:03,Failed,False,55.7558 N, 37.6173 W,Mobile,12,181
TXN3721860915,ACC35584,ACC13364,1293.2,Transfer,17/01/2025 10:47,Failed,True,40.7128 N, -74.006 W,Desktop,12,218
TXN8960596167,ACC77337,ACC14932,1080.33,Transfer,17/01/2025 10:59,Success,False,48.8566 N, 2.3522 W,Desktop,8,182
TXN8567860618,ACC30119,ACC99246,976.88,Withdrawal,17/01/2025 10:20,Success,False,35.6895 N, -118.2437 W,Desktop,14,150
TXN2567753845,ACC79919,ACC39708,1250.33,Deposit,17/01/2025 10:51,Success,True,34.0522 N, 139.6917 W,Mobile,12,247
TXN1783258965,ACC79528,ACC94835,560.21,Deposit,17/01/2025 10:45,Failed,True,55.7558 N, 37.6173 W,Mobile,12,113
TXN6569078109,ACC59886,ACC77651,604.58,Withdrawal,17/01/2025 10:43,Failed,False,35.6895 N, 0.1278 W,Mobile,9,231
TXN2359071560,ACC14335,ACC98744,724.63,Deposit,17/01/2025 10:29,Success,False,35.6895 N, 139.6917 W,Desktop,17,188
TXN8283960952,ACC82403,ACC83827,486.01,Transfer,17/01/2025 10:47,Success,True,34.0522 N, 0.1278 W,Mobile,15,104
TXN4210826474,ACC11545,ACC80855,883.68,Transfer,17/01/2025 10:04,Failed,True,35.6895 N, 2.3522 W,Mobile,14,90
TXN6009434046,ACC39012,ACC39126,750.92,Transfer,17/01/2025 10:23,Success,True,51.5074 N, 37.6173 W,Desktop,6,235
TXN1719512608,ACC73354,ACC33847,1065.66,Deposit,17/01/2025 10:59,Success,True,40.7128 N, 2.3522 W,Desktop,6,190
TXN6960545700,ACC94010,ACC90072,475.88,Withdrawal,17/01/2025 10:45,Failed,False,34.0522 N, 139.6917 W,Desktop,9,159
TXN4205537111,ACC84409,ACC68618,1121.31,Transfer,17/01/2025 10:38,Failed,False,55.7558 N, 37.6173 W,Mobile,20,95
TXN4387242707,ACC62867,ACC58378,308.66,Withdrawal,17/01/2025 10:48,Success,False,35.6895 N, -118.2437 W,Desktop,6,123
TXN1231957148,ACC22767,ACC15053,841.79,Withdrawal,17/01/2025 10:16,Success,True,35.6895 N, -74.006 W,Mobile,7,76
TXN5388880723,ACC99165,ACC71591,189.14,Transfer,17/01/2025 10:26,Failed,True,40.7128 N, 2.3522 W,Desktop,8,69
TXN2331276401,ACC97833,ACC23301,1054.35,Deposit,17/01/2025 10:59,Success,False,48.8566 N, -74.006 W,Desktop,11,120
TXN2332983910,ACC19647,ACC41163,1483.09,Transfer,17/01/2025 10:51,Failed,False,48.8566 N, 0.1278 W,Desktop,9,209
TXN9541784204,ACC84924,ACC47753,645.4,Withdrawal,17/01/2025 10:23,Failed,False,34.0522 N, 2.3522 W,Desktop,12,99
TXN9572855642,ACC79077,ACC60005,536.4,Transfer,17/01/2025 10:35,Success,True,51.5074 N, -118.2437 W,Mobile,16,84
TXN1422419582,ACC99315,ACC69134,1098.59,Transfer,17/01/2025 10:55,Failed,True,48.8566 N, 2.3522 W,Desktop,18,240
TXN5779708393,ACC50669,ACC36490,1096.78,Transfer,17/01/2025 10:01,Success,True,35.6895 N, 2.3522 W,Desktop,6,220
TXN4181704626,ACC95406,ACC83717,258.8,Deposit,17/01/2025 10:32,Failed,True,35.6895 N, -74.006 W,Desktop,12,74
TXN8861420026,ACC49511,ACC53019,1372.5,Transfer,17/01/2025 10:56,Failed,True,35.6895 N, 2.3522 W,Desktop,12,185
TXN3799698655,ACC24754,ACC27643,549.88,Deposit,17/01/2025 10:02,Success,False,48.8566 N, 139.6917 W,Desktop,11,98
TXN7810281706,ACC22851,ACC79506,472.7,Transfer,17/01/2025 10:58,Failed,True,51.5074 N, 139.6917 W,Desktop,6,250
TXN9850226469,ACC37786,ACC76771,296.54,Transfer,17/01/2025 10:53,Failed,True,48.8566 N, 37.6173 W,Mobile,20,229
TXN3750511080,ACC88972,ACC28381,435.39,Transfer,17/01/2025 10:42,Failed,True,48.8566 N, 37.6173 W,Desktop,10,90
TXN1548767950,ACC11070,ACC77895,1445.47,Deposit,17/01/2025 10:53,Failed,False,51.5074 N, -74.006 W,Desktop,12,139
TXN6414718450,ACC40091,ACC54913,334.45,Transfer,17/01/2025 10:55,Failed,True,40.7128 N, 139.6917 W,Desktop,9,211
TXN5456147067,ACC30350,ACC43122,457.97,Transfer,17/01/2025 10:22,Success,False,51.5074 N, 139.6917 W,Desktop,7,80
TXN7966767439,ACC88548,ACC75385,1304.37,Transfer,17/01/2025 10:44,Failed,True,34.0522 N, 2.3522 W,Desktop,4,192
TXN2768153137,ACC45808,ACC45800,936.43,Transfer,17/01/2025 10:34,Success,False,40.7128 N, -74.006 W,Mobile,20,150
TXN5246873289,ACC42742,ACC85405,1228.0,Withdrawal,17/01/2025 10:23,Failed,True,51.5074 N, 37.6173 W,Mobile,19,177
TXN8359126525,ACC48193,ACC86891,615.2,Deposit,17/01/2025 10:01,Success,False,34.0522 N, -74.006 W,Desktop,13,244
TXN4034217983,ACC88799,ACC48171,1231.61,Deposit,17/01/2025 10:46,Success,True,48.8566 N, -74.006 W,Desktop,11,188
TXN2357448364,ACC53364,ACC51280,349.49,Withdrawal,17/01/2025 10:26,Failed,False,34.0522 N, 37.6173 W,Desktop,7,115
TXN3342617288,ACC99232,ACC40298,454.59,Deposit,17/01/2025 10:25,Success,True,34.0522 N, -74.006 W,Desktop,20,130
TXN7830195715,ACC24247,ACC15009,657.19,Deposit,17/01/2025 10:01,Failed,False,55.7558 N, -74.006 W,Desktop,6,168
TXN8864740605,ACC16485,ACC31111,1149.81,Deposit,17/01/2025 10:34,Success,True,35.6895 N, 37.6173 W,Mobile,3,138
TXN8449877320,ACC33934,ACC55639,298.71,Withdrawal,17/01/2025 10:54,Failed,False,40.7128 N, 2.3522 W,Desktop,6,70
TXN1640299129,ACC32963,ACC77206,1060.59,Withdrawal,17/01/2025 10:17,Success,False,34.0522 N, 2.3522 W,Desktop,14,135
